number,z,log(1+z),logM*,log(sSFR/sSFR(MS)),"kpc/""",R1/2,del-R1/2,vrot,del-vrot,sigma-intrinsic,del-s,vrot/sintr,del-vrot/sintr,B/T,n(Sersic),M_bulge,Mmol-gas,Mbaryon,log(S* (R1/2)),log(S* (1kpc)),logSgas,fgas,logMgas/M*,SFRbest,sSFR,(V-J)rf,(U-V)rf,,type,logSSFR ,
,,,,Whitaker 14,,(kpc),(kpc),(km/s),(km/s),(km/s),(km/s),,,,,Msun,Msun,Msun,Msun kpc^-2,Msun kpc^-2,Msun/kpc^2,(baryonic),,Msun/yr,Gyr^-1,,,,,(Msun/yr/kpc^2),
64,0.907,0.280,10.77,0.45,7.82,4.25,0.64,265,13,32,12,8.4,3.2,0.071,1.503,4.2E+09,3.21E+10,9.10E+10,8.72,9.38,8.45,0.35,-0.263,52.5,0.89,1.322,1.345,1.853,r-SFG,-0.334,64
65,0.902,0.279,10.46,0.26,7.80,4.34,0.65,198,9,43,20,4.6,2.1,0.133,1.767,3.8E+09,1.77E+10,4.66E+10,8.39,9.257,8.18,0.38,-0.212,28.4,0.99,0.860,1.022,1.447,b-SFG,-0.619,65
66,0.823,0.261,9.86,0.35,7.59,2.22,0.33,225,28,47,7,4.7,0.9,-99,1.466,-1.0E+03,7.26E+09,1.45E+10,8.37,,8.37,0.50,0.001,14.5,1.99,1.888,1.653,2.351,r-SFG,-0.332,66
67,0.897,0.278,10.28,0.24,7.79,3.75,0.56,196,10,37,5,5.2,0.7,0.2,1.43,3.8E+09,1.35E+10,3.26E+10,8.33,8.748,8.19,0.42,-0.149,22.8,1.20,0.730,0.898,1.332,b-SFG,-0.587,67
68,0.787,0.252,10.68,0.45,7.48,4.99,0.75,309,10,24,7,12.7,3.6,0.093,1.146,4.5E+09,2.42E+10,7.21E+10,8.49,9.089,8.19,0.34,-0.296,39.8,0.83,1.720,1.478,2.204,r-SFG,-0.594,68
69,0.897,0.278,10.26,0.20,7.79,3.23,0.48,140,30,28,4,4.9,1.3,0,0.677,0.0E+00,1.25E+10,3.07E+10,8.44,8.595,8.28,0.41,-0.161,20.6,1.13,1.080,1.022,1.640,b-SFG,-0.502,69
70,0.810,0.258,10.2,-0.27,7.55,5.29,0.79,159,7,32,10,4.9,1.6,0,0.976,0.0E+00,5.70E+09,2.16E+10,7.95,8.55,7.51,0.26,-0.444,5.8,0.37,0.975,0.959,1.548,b-SFG,-1.479,70
71,0.923,0.284,10.19,-0.27,7.85,2.95,0.44,157,51,51,20,3.1,1.6,0,0.823,0.0E+00,6.31E+09,2.18E+10,8.45,8.846,8.06,0.29,-0.390,6.6,0.42,1.562,1.566,2.065,r-SFG,-0.922,71
72,0.895,0.278,10.12,-0.18,7.79,3.91,0.59,195,7,32,7,6.1,1.4,-99,0.658,-1.0E+03,6.17E+09,1.94E+10,8.14,,7.81,0.32,-0.330,7.1,0.54,0.952,1.014,1.528,b-SFG,-1.132,72
73,0.920,0.283,10.73,-0.20,7.85,2.22,0.33,251,54,61,55,4.1,3.8,0.702,3.512,3.8E+10,1.34E+10,6.71E+10,9.24,9.787,8.64,0.20,-0.603,11.5,0.21,1.259,1.765,1.798,r-SFG,-0.429,73
