number,z,log(1+z),logM*,log(sSFR/sSFR(MS)),"kpc/""",R1/2,del-R1/2,vrot,del-vrot,sigma-intrinsic,del-s,vrot/sintr,del-vrot/sintr,B/T,n(Sersic),M_bulge,Mmol-gas,Mbaryon,log(S* (R1/2)),log(S* (1kpc)),logSgas,fgas,logMgas/M*,SFRbest,sSFR,(V-J)rf,(U-V)rf,,type,logSSFR ,
,,,,Whitaker 14,,(kpc),(kpc),(km/s),(km/s),(km/s),(km/s),,,,,Msun,Msun,Msun,Msun kpc^-2,Msun kpc^-2,Msun/kpc^2,(baryonic),,Msun/yr,Gyr^-1,,,,,(Msun/yr/kpc^2),
233,2.195,0.504,10.7,-0.10,8.26,4.53,0.68,106,10,71,38,1.5,0.8,0.138,0.934,6.9E+09,4.60E+10,9.61E+10,8.59,9.31,8.55,0.48,-0.037,72.8,1.45,1.429,1.214,1.848,b-SFG,-0.248,233
234,2.185,0.503,10.36,-0.03,8.27,4.68,0.70,259,8,39,18,6.7,3.1,0.095,0.269,2.2E+09,2.85E+10,5.14E+10,8.22,9.045,8.32,0.55,0.095,53.3,2.33,1.099,0.990,1.557,b-SFG,-0.412,234
235,2.440,0.537,9.82,0.77,8.11,2.46,0.37,87,68,62,13,1.4,1.1,-99,2.71,-1.0E+03,2.77E+10,3.43E+10,8.24,#NAME?,8.86,0.81,0.623,119.4,18.07,0.002,0.346,0.592,b-SFG,0.496,235
236,2.222,0.508,10.68,-0.41,8.25,3.19,0.48,200,20,27,10,7.4,2.8,0.503,2.613,2.4E+10,3.06E+10,7.85E+10,8.87,9.515,8.68,0.39,-0.194,36.3,0.76,0.790,1.061,1.285,b-SFG,-0.247,236
237,2.256,0.513,10.03,-0.35,8.23,1.85,0.28,180,30,63,7,2.9,0.6,-99,1.27,-1.0E+03,9.61E+09,2.03E+10,8.70,#NAME?,8.65,0.47,-0.047,12.9,1.20,0.235,0.863,0.797,b-SFG,-0.221,237
238,2.216,0.507,10.13,0.04,8.25,2.84,0.43,260,15,51,7,5.1,0.8,0,0.863,0.0E+00,1.95E+10,3.30E+10,8.43,9.141,8.59,0.59,0.160,38.9,2.88,0.624,0.716,1.139,b-SFG,-0.115,238
239,2.222,0.508,10.1,0.09,8.25,3.15,0.47,125,10,57,18,2.2,0.7,-99,1.91,-1.0E+03,1.95E+10,3.21E+10,8.31,#NAME?,8.50,0.61,0.191,41.0,3.25,0.057,0.761,0.640,b-SFG,-0.181,239
240,2.197,0.505,10.17,0.05,8.26,1.57,0.23,135,35,26,17,5.2,3.6,0.237,1.24,3.5E+09,2.12E+10,3.60E+10,8.98,9.051,9.14,0.59,0.156,42.4,2.87,0.532,0.877,1.058,b-SFG,0.440,240
241,2.449,0.538,9.85,0.07,8.10,1.58,0.24,150,36,45,7,3.3,1.0,-99,0.739,-1.0E+03,1.20E+10,1.91E+10,8.66,#NAME?,8.89,0.63,0.231,25.7,3.63,0.249,0.459,0.129,b-SFG,0.216,241
242,0.891,0.277,11.12,-0.24,7.78,5.50,0.83,370,35,45,7,8.3,1.5,0.457,3.8,6.0E+10,2.12E+10,1.53E+11,8.84,9.994,8.05,0.14,-0.793,15.3,0.12,1.439,1.746,1.956,r-SFG,-1.093,242
243,0.889,0.276,10.63,0.42,7.77,4.48,0.67,251,8,36,7,7.1,1.4,0.094,0.806,4.0E+09,2.56E+10,6.83E+10,8.53,#NAME?,8.31,0.38,-0.221,43.4,1.02,1.189,1.191,1.736,b-SFG,-0.463,243
244,0.888,0.276,10.2,-0.72,7.77,2.62,0.39,170,10,30,11,5.7,2.1,0.022,0.702,3.5E+08,3.49E+09,1.93E+10,8.57,9.083,7.91,0.18,-0.658,2.3,0.14,1.216,1.289,1.760,b-SFG,-1.274,244
245,0.897,0.278,9.39,0.22,7.79,3.41,0.51,75,20,75,10,1.0,0.3,-99,0.838,-1.0E+03,2.61E+09,5.07E+09,7.53,#NAME?,7.55,0.52,0.027,4.4,1.78,0.966,1.021,1.540,b-SFG,-1.225,245
246,0.938,0.287,9.81,0.73,7.89,5.50,0.83,117,24,21,10,5.4,2.8,-99,0.369,-1.0E+03,1.20E+10,1.84E+10,7.53,#NAME?,7.80,0.65,0.268,35.3,5.47,1.641,1.073,2.134,b-SFG,-0.731,246
247,0.946,0.289,9.91,-0.37,7.91,6.32,0.95,150,16,15,8,9.7,5.1,-99,1.867,-1.0E+03,3.50E+09,1.16E+10,7.51,#NAME?,7.14,0.30,-0.366,3.4,0.42,0.652,0.910,1.264,b-SFG,-1.870,247
248,0.909,0.281,9.5,0.22,7.82,3.52,0.53,81,5,36,7,2.2,0.5,-99,1.102,-1.0E+03,3.32E+09,6.48E+09,7.61,#NAME?,7.63,0.51,0.021,5.7,1.79,0.346,0.639,0.994,b-SFG,-1.137,248
